City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Lompoc,US,70.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
615,Amboasary,MG,78.64,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
616,Bull Savanna,JM,79.72,scattered clouds,17.8868,-77.5902,Big Red's
617,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
626,Chatrapur,IN,72.7,scattered clouds,19.35,84.9833,Circuit House
627,Inhambane,MZ,77.4,overcast clouds,-23.865,35.3833,Oceano
628,Maumere,ID,79.23,light rain,-8.6199,122.2111,Sylvia Hotel
629,Liwale,TZ,70.3,clear sky,-9.7667,37.9333,Samoma lodge
631,Tariba,VE,77.56,overcast clouds,7.8188,-72.2243,Hotel Las Lomas
632,Maldonado,UY,76.39,scattered clouds,-34.6667,-54.9167,La Cimarrona
637,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
640,Valdivia,CL,80.69,clear sky,-39.8142,-73.2459,Hostal Entre Rios
641,Ovalle,CL,81.16,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
642,Beira,MZ,82.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
644,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
646,Minas,UY,75.67,few clouds,-34.3759,-55.2377,Hotel Minas
647,Eyl,SO,75.42,overcast clouds,7.9803,49.8164,Amiin Hotel
649,Opunake,NZ,72.34,overcast clouds,-39.4556,173.8583,Walton Cottage
651,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
655,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
656,Sisophon,KH,72.77,overcast clouds,13.5859,102.9737,Pyramid Hotel
657,Sechura,PE,78.3,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
658,Tambacounda,SN,86.05,haze,13.7539,-13.7586,
662,Kousseri,CM,76.96,dust,12.0769,15.0306,Le Pilotis
663,Arawa,PG,79.97,overcast clouds,-6.2132,155.5367,Coastline Guest House
664,Ler,SS,80.29,broken clouds,8.3018,30.1418,
665,Marsh Harbour,BS,78.04,broken clouds,26.5412,-77.0636,Abaco Beach Resort
671,Jibuti,DJ,71.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
676,Mandera,KE,86.72,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
677,Madang,PG,75.76,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
678,Labrea,BR,84.96,light rain,-7.2586,-64.7981,Hotel Novo Horizonte
683,Mandeville,JM,77.05,scattered clouds,18.0417,-77.5071,Mandeville Hotel
684,Canapi,BR,86.72,overcast clouds,-9.1174,-37.6012,
