City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Zhuhai,CN,2021-12-08 20:31:12,22.2769,113.5678,67.71,77,0,13.8,clear sky
180,Xichang,CN,2021-12-08 20:31:12,27.8964,102.2634,53.65,83,99,0.87,overcast clouds
181,Mingguang,CN,2021-12-08 20:31:12,32.7802,117.9638,46.87,82,96,4.41,overcast clouds
182,Korla,CN,2021-12-08 20:31:12,41.7597,86.1469,26.83,55,100,4.0,overcast clouds
183,Peruibe,BR,2021-12-08 20:32:13,-24.32,-46.9983,68.13,88,25,8.66,scattered clouds
184,Upernavik,GL,2021-12-08 20:32:13,72.7868,-56.1549,6.82,89,95,7.25,overcast clouds
185,San Patricio,US,2021-12-08 20:32:13,28.017,-97.5169,81.01,45,42,6.8,scattered clouds
186,Aksu,CN,2021-12-08 20:32:14,41.1231,80.2644,27.66,46,2,0.58,clear sky
187,Kaihua,CN,2021-12-08 20:32:14,23.3687,104.28,45.05,87,0,2.3,clear sky
188,Nuevo Progreso,MX,2021-12-08 20:32:14,23.1667,-97.95,87.6,70,88,5.01,overcast clouds
189,New Norfolk,AU,2021-12-08 20:32:15,-42.7826,147.0587,51.93,70,5,1.59,clear sky
190,Nelson Bay,AU,2021-12-08 20:32:15,-32.7167,152.15,65.08,95,96,1.01,overcast clouds
191,Praia Da Vitoria,PT,2021-12-08 20:32:15,38.7333,-27.0667,59.25,88,75,0.63,broken clouds
192,Hay River,CA,2021-12-08 20:32:15,60.8156,-115.7999,4.98,85,90,11.5,light snow
193,Pozo Colorado,PY,2021-12-08 20:32:16,-23.4923,-58.7972,98.47,19,1,7.87,clear sky
194,Esperance,AU,2021-12-08 20:32:16,-33.8667,121.9,57.04,75,0,18.37,clear sky
195,Kahului,US,2021-12-08 20:32:16,20.8947,-156.47,79.86,80,75,9.22,broken clouds
196,Hinton,CA,2021-12-08 20:29:42,53.4001,-117.5857,31.1,49,100,14.16,overcast clouds
197,Alice Springs,AU,2021-12-08 20:32:03,-23.7,133.8833,65.75,55,90,11.5,overcast clouds
198,Vao,NC,2021-12-08 20:32:17,-22.6667,167.4833,78.3,82,29,11.45,scattered clouds
199,Puerto Ayora,EC,2021-12-08 20:31:15,-0.7393,-90.3518,80.56,78,88,8.66,overcast clouds
200,Bundaberg,AU,2021-12-08 20:32:17,-24.85,152.35,73.69,100,44,3.44,scattered clouds
201,Natal,BR,2021-12-08 20:32:17,-5.795,-35.2094,84.85,70,40,13.8,scattered clouds
202,Gizo,SB,2021-12-08 20:32:18,-8.103,156.8419,82.09,83,100,12.15,moderate rain
203,Hastings,GB,2021-12-08 20:30:10,50.8552,0.5729,43.92,66,84,21.47,broken clouds
204,Nioro,GM,2021-12-08 20:32:19,13.35,-15.75,84.16,16,97,4.68,overcast clouds
205,Vestmannaeyjar,IS,2021-12-08 20:32:19,63.4427,-20.2734,40.86,65,100,30.53,overcast clouds
206,Podgorenskiy,RU,2021-12-08 20:28:17,50.405,39.6429,37.99,96,100,6.76,overcast clouds
207,Faanui,PF,2021-12-08 20:32:19,-16.4833,-151.75,81.34,76,27,14.03,scattered clouds
208,Sinnamary,GF,2021-12-08 20:32:20,5.3833,-52.95,78.37,88,100,8.52,overcast clouds
209,Cervo,ES,2021-12-08 20:32:20,43.6702,-7.4101,51.96,79,100,19.73,light rain
210,Hami,CN,2021-12-08 20:32:20,42.8,93.45,28.06,62,99,4.43,overcast clouds
211,Lebedyn,UA,2021-12-08 20:32:21,50.5852,34.4849,39.56,94,100,10.36,overcast clouds
212,Ayan,RU,2021-12-08 20:32:10,56.45,138.1667,14.86,69,82,2.46,broken clouds
213,Sisimiut,GL,2021-12-08 20:32:21,66.9395,-53.6735,19.04,60,98,8.57,overcast clouds
214,Saint-Gabriel,CA,2021-12-08 20:32:21,46.3001,-73.3824,12.02,88,100,6.98,overcast clouds
215,Nieuw Amsterdam,SR,2021-12-08 20:32:22,5.8833,-55.0833,81.01,89,40,4.61,light rain
216,Diego De Almagro,CL,2021-12-08 20:31:20,-26.3667,-70.05,77.14,26,87,11.41,overcast clouds
217,Saint-Augustin,CA,2021-12-08 20:32:22,51.226,-58.6502,18.27,47,64,15.73,broken clouds
218,Changji,CN,2021-12-08 20:32:22,44.0167,87.3167,25.59,80,75,4.47,mist
219,Kruisfontein,ZA,2021-12-08 20:32:23,-34.0033,24.7314,62.89,93,97,4.72,overcast clouds
220,Brae,GB,2021-12-08 20:32:23,60.3964,-1.353,44.51,84,100,30.62,overcast clouds
221,Te Anau,NZ,2021-12-08 20:32:23,-45.4167,167.7167,58.66,72,83,3.78,broken clouds
222,Kolda,SN,2021-12-08 20:32:23,12.8833,-14.95,80.29,20,60,3.31,broken clouds
223,Gornopravdinsk,RU,2021-12-08 20:32:24,60.05,69.9,-4.14,97,18,5.46,few clouds
224,Liverpool,GB,2021-12-08 20:32:24,53.4106,-2.9779,46.35,87,75,14.0,broken clouds
225,Bryan,US,2021-12-08 20:32:25,30.6744,-96.37,75.65,53,1,4.61,clear sky
226,Manta,EC,2021-12-08 20:32:25,-0.95,-80.7333,80.38,74,20,14.97,few clouds
227,Severo-Kurilsk,RU,2021-12-08 20:32:25,50.6789,156.125,31.51,63,91,28.57,overcast clouds
228,Tuatapere,NZ,2021-12-08 20:32:25,-46.1333,167.6833,52.83,94,100,3.38,overcast clouds
229,Tasiilaq,GL,2021-12-08 20:33:26,65.6145,-37.6368,30.36,90,100,38.5,snow
230,Bintulu,MY,2021-12-08 20:33:26,3.1667,113.0333,75.61,100,40,0.0,scattered clouds
231,Conde,BR,2021-12-08 20:33:26,-7.2597,-34.9075,81.86,74,40,9.22,scattered clouds
232,El Vigia,VE,2021-12-08 20:33:27,8.6219,-71.6506,83.44,74,88,2.48,overcast clouds
233,Ahipara,NZ,2021-12-08 20:33:27,-35.1667,173.1667,71.06,67,88,2.86,overcast clouds
234,Acarau,BR,2021-12-08 20:33:27,-2.8856,-40.12,82.42,72,18,17.31,few clouds
235,Whitehorse,CA,2021-12-08 20:32:07,60.7161,-135.0538,10.09,84,75,2.3,broken clouds
236,Bud,US,2021-12-08 20:33:28,39.447,-86.1758,41.68,54,5,9.75,clear sky
237,Ostrovnoy,RU,2021-12-08 20:33:28,68.0531,39.5131,17.13,83,63,4.23,broken clouds
238,Camabatela,AO,2021-12-08 20:33:28,-8.1881,15.375,61.9,96,93,1.63,overcast clouds
239,Azul,AR,2021-12-08 20:33:29,-36.777,-59.8585,80.35,44,99,4.72,overcast clouds
240,Rayong,TH,2021-12-08 20:33:29,12.8333,101.4333,73.98,77,98,5.7,overcast clouds
241,Arraial Do Cabo,BR,2021-12-08 20:33:29,-22.9661,-42.0278,67.96,94,75,4.61,broken clouds
242,Ous,RU,2021-12-08 20:33:29,60.9058,61.5186,12.6,96,100,4.79,overcast clouds
243,Port Lincoln,AU,2021-12-08 20:33:30,-34.7333,135.8667,57.76,57,83,14.16,broken clouds
244,Kawalu,ID,2021-12-08 20:33:30,-7.3817,108.2082,73.96,95,100,0.94,overcast clouds
245,Fairbanks,US,2021-12-08 20:30:34,64.8378,-147.7164,10.74,89,90,3.44,light snow
246,Mengcheng,CN,2021-12-08 20:33:30,33.2579,116.5655,45.66,80,69,2.59,broken clouds
247,Toronto,CA,2021-12-08 20:32:28,43.7001,-79.4163,30.07,84,90,1.99,light snow
248,Lasa,IT,2021-12-08 20:33:31,46.6166,10.7002,33.26,96,100,2.19,snow
249,Kurilsk,RU,2021-12-08 20:33:31,45.2333,147.8833,33.93,65,8,3.36,clear sky
250,Mecca,SA,2021-12-08 20:32:28,21.4267,39.8261,75.11,72,57,6.04,broken clouds
251,Zhigansk,RU,2021-12-08 20:33:32,66.7697,123.3711,-20.04,96,99,10.38,overcast clouds
252,Berdigestyakh,RU,2021-12-08 20:33:32,62.0989,126.6992,-13.36,98,100,4.27,overcast clouds
253,Amga,RU,2021-12-08 20:33:32,60.8953,131.9608,-6.48,98,100,2.3,overcast clouds
254,Biak,ID,2021-12-08 20:33:33,-0.9131,122.8766,76.84,86,100,1.28,overcast clouds
255,Brigantine,US,2021-12-08 20:31:46,39.4101,-74.3646,42.04,65,1,5.75,clear sky
256,Avera,US,2021-12-08 20:33:33,33.194,-82.5271,54.91,74,70,11.48,broken clouds
257,Changping,CN,2021-12-08 20:33:34,40.2186,116.2197,35.24,96,100,0.31,light rain
258,Cedar City,US,2021-12-08 20:29:39,37.6775,-113.0619,47.37,61,90,20.71,overcast clouds
259,Berevoesti,RO,2021-12-08 20:33:34,45.2333,24.9167,33.03,87,15,4.0,few clouds
260,Dunmore Town,BS,2021-12-08 20:33:34,25.5,-76.65,77.77,80,4,5.44,clear sky
